Challenge:,Submission by:
Produce a function that outputs text to the terminal which is greater than 1 line in height.,Dougmac
Write a piece of code which executes a different piece of code written in a different language.,Dougmac
"Take any string in, and return it with all of its characters in alphabetical order",Scott Hamilton
Produce a nullpointerexception using as few characters as possible,Dougmac
Make the computer make a sound                                                                                                            ,Dougmac
Return the number of days until Christmas,Scott Hamilton
"Write a ""Hello World!"" program as convoluted as possible",Matthew G
Write a bot which tells knock-knock jokes,Matthew G
Make a game in 30 minutes or less,Craig
Write code that controls something like screen brightness or volume,Craig
A programme that tells you the day of the week you were born when you give your DOB,Dougmac
Compile a .exe which does anything,Dougmac
Make an alarm clock/timer,Dougmac
Make a button that takes you to Rick Astley,Dougmac
Return the number of scrabble points for a given string,Dougmac
Code rolling a pair of dice,Dougmac
Make a program which breaks itself so it cant be run after it runs,Dougmac
Write a piece of code which sets off the antivirus,Dougmac
"Write a program that does anything at all, but you must write the whole thing and run it as a live demo with no prior testing or prior implimentation memorisation",Dougmac
Code which tells the user if they have been naughty or nice this christmas,Dougmac
Write a perfectly functional segment of code with 1 deliberate mistake which others must race to identify.,Dougmac
"Make a button that could be presed, but can't be pressed",Dougmac
Do something using only CSS which you would normally do using Javascript,Dougmac
Code something 1337 themed,Dougmac
Find the fastest solution to alphabetising the entire text of Moby Dick. Competition benchmarking will be done on a Raspberry Pi.,Dougmac
Matthew's decipher task,Matthew G
Write code which simulates play your cards right (higher and lower next number in range N of set X),Dougmac
Write a piece of code that solves for all anagrams of a given string (APIs allowed),Craig
Write a piece of code that solves the numbers round of countdown,Craig
Work out how to override a method and use it to do something annoying/funny,Craig
